date,jira_id,comment
2022-05-10T06:58:36Z,3265,[website] Set 4.15.0 as latest release (#3265)
2022-05-09T18:51:58Z,3155,Release notes for BK 4.15  Descriptions of the changes in this PR:  ### Motivation    release notes for BK release 4.15    ### Changes    Doc updates per release procedure.  Reviewers: Enrico Olivelli <eolivelli@gmail.com>  Yong Zhang <zhangyong1025.zy@gmail.com>  Hang Chen <chenhang@apache.org>  Nicolò Boschi <boschi1997@gmail.com>  This closes #3155 from dlg99/bk-4.15-release-notes
2022-05-07T12:11:38Z,3262,Fix spelling mistake in bk_server.conf (#3262)  ### Motivation    Fix spelling mistake in bk_server.conf    ### Changes    Master Issue: #3261
2022-05-05T06:29:11Z,3256,BP-47 (task5): Garbage collection support direct IO entrylogger (#3256)  * Garbage Collection support for DirectIO entrylogger    GC support requires that the entrylogger provides a way to retrieve  all entrylogs which have been completely flushed to disk. Previously  this was done by returning the least unflushed log id. However  this  is problematic as it doesn't support the log ids wrapping around. It  also means that GC has to start checking for log id existence from  zero every time it boots.    This change replaces getLeastUnflushedLogId() with getFlushedLogIds()   to give the entrylogger full control of which logs should be  considered for GC.    It also changes the CompactableLedgerStorage interface  removing  getEntryLogger() and adding injection of the entrylogger to the  GarbageCollectionThread. This makes testing easier.    Co-authored-by: Ivan Kelly <ikelly@splunk.com>
2022-05-05T00:26:43Z,3254,[minor] [optimize] Remove redundant toString call (#3254)
2022-05-04T13:20:11Z,3255,Allow run LocalBookkeeper directly in `bookkeeper-server` module or on IDE (#3255)
2022-05-04T06:18:23Z,3253,BP-47 (task4): Aligned native buffer wrapper (#3253)
2022-04-29T16:10:42Z,3251,Fix: shell tests are broken and not running on CI (#3251)
2022-04-29T05:44:14Z,3197,BP-47 (task3): Abstract interface for entrylogger (#3197)  * Interface for entrylogger    Define the interface and contract for entrylogger. This is mostly  taking the entrylogger methods used by other components and prettying  them up a bit.    Notable changes are:  - internalReadEntry is now readEntry. There is no 'validate'    flag. Instead there are two overloads for the method  and validation    only runs if ledgerId and entryId are passed in.  - shutdown has been renamed to close.  - the compaction entrylog methods have been put behind an    interface. As it was they were leaking implementation    details. Ultimitely compaction itself should be hidden behind the    entrylogger  but that's a larger refactor.    (cherry picked from commit c927f4b0128e2b1f0f4b30c41ce442b366d5009c)    * abstract interface for entrylogger    * format code    * format code    * address comments    * Apply suggestions from code review    Co-authored-by: Andrey Yegorov <8622884+dlg99@users.noreply.github.com>    * address comments    * format code    Co-authored-by: Ivan Kelly <ikelly@splunk.com>  Co-authored-by: Andrey Yegorov <8622884+dlg99@users.noreply.github.com>
2022-04-28T23:00:53Z,3246,Move bookkeeper-stats and bookkeeper-stats-providers as submodules of stats  ### Motiviations  Fix todo to make the project layout more reasonable and easier to fix bug/dev new feature  ### Changes  move `bookkeeper-stats` and `bookkeeper-stats-providers` as submodules of `stats`  Reviewers: Enrico Olivelli <eolivelli@gmail.com>  Nicolò Boschi <boschi1997@gmail.com>  Andrey Yegorov <None>  This closes #3246 from Shoothzj/module-04-25
2022-04-27T07:09:35Z,3242,fix some jdk17 test problem (#3242)
2022-04-26T21:48:53Z,,[maven-release-plugin] prepare for next development iteration
2022-04-26T21:48:51Z,,[maven-release-plugin] prepare branch branch-4.15
2022-04-26T21:47:58Z,,Revert "[maven-release-plugin] prepare branch branch-4.15"  This reverts commit d9b98ad8ccec6a9ba65cfc00ef319ee51454c0c4.
2022-04-26T21:47:48Z,,Revert "[maven-release-plugin] prepare for next development iteration"  This reverts commit e5d5ddac8a10acca031eed0221d925d54713a6ab.
2022-04-26T21:31:55Z,,[maven-release-plugin] prepare for next development iteration
2022-04-26T21:31:52Z,,[maven-release-plugin] prepare branch branch-4.15
