jira_id,affected versions,fixed version,commit date,created,resolution date
2022-05-12T07:56:40Z,2cfe17dfc3a189a4675decf5f963615e22718933,SYNCOPE-1676,2022-05-12T07:57:02.000+0000,[3.0.0],[3.0.0],2022-05-12T07:45:37.000+0000
2022-04-06T11:36:00Z,40710978a407d10e35f2b8f776e6872ae31fdbdb,SYNCOPE-1672,2022-04-06T11:37:30.000+0000,[3.0.0],[3.0.0],2022-04-06T10:28:21.000+0000
2022-04-06T08:45:44Z,a99183dcc6fc228a11e31f5e5bad35e1682bf37a,SYNCOPE-1671,2022-04-06T08:50:47.000+0000,[2.1.11],[2.1.12  3.0.0],2022-04-06T07:19:47.000+0000
2022-02-24T17:05:39Z,4581c9ca0f567eef32586073d8c4d9718c1827bb,SYNCOPE-1664,2022-02-25T08:51:58.000+0000,[2.1.10  3.0.0],[2.1.11  3.0.0],2022-02-24T09:32:40.000+0000
2022-02-06T07:55:19Z,1fb8b4fa3a7d0af2158f01d61dd0a0e35a86b8a5,SYNCOPE-1663,2022-02-05T16:02:37.000+0000,[2.1.10],[2.1.11  3.0.0],2022-02-05T11:16:34.000+0000
2022-02-05T14:48:05Z,9e29c518beaa07dc3161cd23b48c6568e595733a,SYNCOPE-1663,2022-02-05T16:02:37.000+0000,[2.1.10],[2.1.11  3.0.0],2022-02-05T11:16:34.000+0000
2022-01-27T15:07:56Z,b1d11bd9f1e7a9e8a5f836376879e22cec07fae0,SYNCOPE-1660,2022-01-27T15:09:02.000+0000,[2.1.10],[2.1.11  3.0.0],2022-01-27T13:51:12.000+0000
2022-03-10T07:30:42Z,f8a6b6c972b5b60584475437c10df1e699b1bcee,SYNCOPE-1659,2022-03-10T07:32:52.000+0000,[2.1.10],[2.1.11  3.0.0],2022-01-20T16:03:18.000+0000
2022-02-01T15:05:41Z,c3a016d0f16b610726ebd07cf997ab294595b0b5,SYNCOPE-1657,2022-02-04T10:07:02.000+0000,[2.1.10],[2.1.11  3.0.0],2022-01-17T11:04:22.000+0000
2022-03-17T12:53:32Z,cc7f2f66b21479f76f632dc24eccc4c5d7c6868b,SYNCOPE-1656,2022-03-17T13:06:38.000+0000,[2.1.10],[2.1.11  3.0.0],2022-01-12T16:25:20.000+0000
2022-01-17T08:31:32Z,bdeaaf4660a7b9b3fbecf20f41c9db20cca6aed0,SYNCOPE-1656,2022-03-17T13:06:38.000+0000,[2.1.10],[2.1.11  3.0.0],2022-01-12T16:25:20.000+0000
2021-11-29T09:50:05Z,e6dc5e8d79b58d50a760c70f55f9c6e4ae0b7a8b,SYNCOPE-1654,2021-11-29T09:51:23.000+0000,[2.1.10],[2.1.11  3.0.0],2021-11-29T09:27:39.000+0000
2021-12-10T05:18:45Z,2fa7e28874acfeca8b6124ffec94d7f0a2d0d9ba,SYNCOPE-1651,2021-11-24T10:04:37.000+0000,[2.1.10],[2.1.11  3.0.0],2021-11-24T09:46:16.000+0000
2021-11-24T10:02:29Z,615bbec2fe069f1cf813648ebb126a721e80d0e5,SYNCOPE-1651,2021-11-24T10:04:37.000+0000,[2.1.10],[2.1.11  3.0.0],2021-11-24T09:46:16.000+0000
2021-11-12T16:19:23Z,1481a288df7c3013d678ba018e7ac8454d191a28,SYNCOPE-1650,2021-11-12T17:03:05.000+0000,[2.1.10],[2.1.11  3.0.0],2021-11-12T15:39:19.000+0000
